PDB_ID,Uniprot_Name,Ki,IC50,pKd,B_factor,Resolution,Date,Type,EC_number,Uniprot_ID,Uniprot_AC,Species,Reign,TaxId,Class,X,Y,Z,HET_CODE,MW,BSA,CHAIN,SITE_SIZE,NON_STDAA,IFP_LENGTH,ION,COF,IFP_BIT_1,IFP_BIT_2,IFP_BIT_3,IFP_BIT_4,IFP_BIT_5,IFP_BIT_6,IFP_BIT_7,IFP_BIT_8,scPDB_ID,Cavity_4A,Cavity_6A,Cavity_8A,Cavity_12A,Cluster_id,Cluster_size,Subcluster_belongership,Cluster_mean_point_sa,Cluster_tot_entries
3dp3,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,,,,11.114,2.3,2008-07-07,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,-1.8718,-15.0925,33.6001,4BB,469.14718,92.2077922078,CD,37,0,17,,,15,1,0,1,0,0,0,0,6422,344,445,499,513,1355,2,1,3doz,9
3cf8,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,0.0000127,,,11.778,2.4,2008-03-03,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,0.7354,-14.4054,-35.9106,QUE,302.2357,93.9834024896,CD,32,0,10,,,7,1,1,1,0,0,0,0,6460,445,590,752,901,1355,2,1,3doz,9
3cf9,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,0.0000149,,,11.382,2.6,2008-03-03,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,0.6009,-14.0455,-36.0631,AGI,270.2369,95.9227467811,CD,32,0,12,,,9,1,1,1,0,0,0,0,6461,415,560,762,941,1355,2,1,3doz,9
3fy4,(6-4)DNA photolyase,,,,13.75,2.7,2009-01-21,Wild_Type,4.1.99.13,UVR3_ARATH,O48652,Arabidopsis thaliana ,Eukaryota,3702,Enzyme,39.7212,18.3623,24.2347,FAD,786.557682,99.4266055046,A,66,0,37,,,24,1,1,7,3,1,0,0,6955,631,691,766,864,,,,,
1p5b,(S)-mandelate dehydrogenase,,,,6.928,1.35,2003-04-25,Mutant,1.1.99.31,MDLB_PSEPU,P20932,Pseudomonas putida,Bacteria,303,Enzyme,75.2652,82.2757,23.7374,FMN,457.3517,99.00884643,A,60,0,29,,,18,0,0,8,1,2,0,0,146,371,421,455,475,,,,,
1gkz,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase,,,,27.354,2.2,2001-08-22,Wild_Type,2.7.11.4,BCKD_RAT,Q00972,Rattus norvegicus ,Eukaryota,10116,Enzyme,98.2878,119.7123,31.1332,ADP,425.1852,96.97128083,A,46,1,13,MG,,6,0,0,5,1,0,0,1,3259,371,398,398,425,900,1,1,1gkz,2
1gjv,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase,,,,25.095,2.7,2001-08-03,Wild_Type,2.7.11.4,BCKD_RAT,Q00972,Rattus norvegicus ,Eukaryota,10116,Enzyme,96.7644,119.6217,31.8918,SAP,521.231,93.35982011,A,44,1,18,MG,,11,0,0,5,1,0,0,1,5010,391,391,391,428,900,1,1,1gkz,2
2q8g,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1,,,,13.985,1.9,2007-06-10,Wild_Type,2.7.11.2,PDK1_HUMAN,Q15118,Homo sapiens ,Eukaryota,9606,Enzyme,-5.5551,41.136,8.5827,AZX,478.87,69.6979686139,A,37,0,16,,,14,1,0,0,1,0,0,0,1858,320,384,425,428,,,,,
1jm6,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2,,,,18.251,2.5,2001-07-17,Wild_Type,2.7.11.2,PDK2_RAT,Q64536,Rattus norvegicus ,Eukaryota,10116,Enzyme,35.9478,-3.9307,14.5979,ADP,425.1852,96.88932951,BA,50,1,20,MG,,10,0,0,7,1,1,0,1,4513,428,469,526,624,901,3,3,2bu8,4
2bu7,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2,,,,26.807,2.4,2005-06-08,Wild_Type,2.7.11.2,PDK2_HUMAN,Q15119,Homo sapiens ,Eukaryota,9606,Enzyme,38.2978,35.1254,90.3585,TF3,361.886,82.09439884,A,43,0,16,,,14,0,2,0,0,0,0,0,4257,361,415,482,587,901,3,2,2bu7,4
2bu2,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2,,,,30.001,2.4,2005-06-08,Wild_Type,2.7.11.2,PDK2_HUMAN,Q15119,Homo sapiens ,Eukaryota,9606,Enzyme,57.1551,61.1261,78.3977,TF1,383.3649,74.57378304,A,39,0,15,,,13,0,1,1,0,0,0,0,4258,438,516,631,702,901,3,1,2bu2,4
2bu8,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2,,,,28.966,2.5,2005-06-08,Wild_Type,2.7.11.2,PDK2_HUMAN,Q15119,Homo sapiens ,Eukaryota,9606,Enzyme,36.2019,34.5778,64.967,ADP,425.1852,86.02323305,A,40,1,11,MG,,6,0,0,3,1,0,0,1,4514,361,391,391,391,901,3,3,2bu8,4
2q8i,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3,,,,25.411,2.6,2007-06-10,Mutant,2.7.11.2,PDK3_HUMAN,Q15120,Homo sapiens ,Eukaryota,9606,Enzyme,-48.3439,20.8339,67.7475,RDC,364.777,82.016625231,A,37,0,12,,,10,0,0,1,1,0,0,0,4944,465,540,607,617,,,,,
2e0a,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,,,,12.872,1.86,2006-10-03,Mutant,2.7.11.2,PDK4_HUMAN,Q16654,Homo sapiens ,Eukaryota,9606,Enzyme,46.4094,8.8668,11.7154,ANP,503.1724,96.4681851431,A,52,1,20,MG,,11,0,0,7,1,0,0,1,1594,435,472,472,472,1071,1,1,2e0a,3
2zdx,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,,,,22.24,2.54,2007-11-30,Mutant,2.7.11.2,PDK4_HUMAN,Q16654,Homo sapiens ,Eukaryota,9606,Enzyme,-25.8554,10.9325,13.2524,P4A,296.32054,82.9044117647,A,41,0,9,,,9,0,0,0,0,0,0,0,6133,435,475,519,594,1071,1,1,2e0a,3
3d2r,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,,,,18.269,2.03,2008-05-08,Mutant,2.7.11.2,PDK4_HUMAN,Q16654,Homo sapiens ,Eukaryota,9606,Enzyme,10.116,9.5676,11.4992,ADP,427.201122,96.2765957447,B,48,1,16,MG,,8,0,0,6,1,0,0,1,6858,391,432,432,432,1071,1,1,2e0a,3
1j0d,1-aminocyclopropane-1-carboxylate deaminase,,,,12.189,2.2,2002-11-12,Mutant,3.5.99.7,1A1D_WILSA,Q7M523,Williopsis saturnus ,Eukaryota,4906,Enzyme,21.3562,60.4454,19.9929,5PA,331.2384,100,C,57,0,22,,,12,1,0,8,0,1,0,0,3229,259,293,330,330,,,,,
1m7y,1-aminocyclopropane-1-carboxylate synthase,,,,7.508,1.6,2002-07-23,Wild_Type,4.4.1.14,1A1C_MALDO,P37821,Malus domestica ,Eukaryota,3750,Enzyme,19.5151,-0.3265,21.6206,PPG,391.3135,91.46034777,A,53,0,31,,,15,1,1,9,2,2,1,0,497,327,405,526,641,2,1,1,1m7y,2
1m4n,1-aminocyclopropane-1-carboxylate synthase,,,,7.434,2.01,2002-07-03,Wild_Type,4.4.1.14,,P37821,Malus domestica ,Eukaryota,3750,Enzyme,20.3607,0.8573,25.0367,PLP_AAD,585.527,64.9014778325,A,49,0,22,,,11,1,0,8,1,1,0,0,5822,536,695,840,955,2,1,1,1m7y,2
2jd1,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,8.747,2,2007-01-04,Wild_Type,1.1.1.267,DXR_MYCTU,P64012,Mycobacterium tuberculosis,Bacteria,1773,Enzyme,13.1301,6.5384,-7.8714,NDP,742.3971,89.2380104,A,65,1,27,MN,,17,0,0,7,2,1,0,0,2475,614,627,627,627,3,2,1,2jd0,6
1t1r,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,23.809,2.3,2004-04-17,Mutant,1.1.1.267,DXR_ECOLI,P45568,Escherichia coli ,Bacteria,83333,Enzyme,21.8016,19.4228,26.4593,IMB,316.1437,88.34542442,B,31,0,11,,,5,1,0,2,1,2,0,0,3721,462,729,911,1036,3,2,2,1t1s,6
2jd0,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,14.984,2.3,2007-01-04,Mutant,1.1.1.267,DXR_MYCTU,P64012,Mycobacterium tuberculosis,Bacteria,1773,Enzyme,13.3511,6.5605,-8.0901,NDP,742.3971,87.45060074,A,64,0,27,,,17,0,0,7,1,1,0,0,3727,637,695,702,702,3,2,1,2jd0,6
1t1s,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,21.008,2.4,2004-04-17,Mutant,1.1.1.267,DXR_ECOLI,P45568,Escherichia coli ,Bacteria,83333,Enzyme,20.8005,18.2904,26.6228,CBQ,300.53,91.11795628,B,33,0,11,,,7,1,0,1,1,1,0,0,4269,421,661,826,975,3,2,2,1t1s,6
2egh,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,19.698,2.2,2007-03-01,Mutant,1.1.1.267,DXR_ECOLI,P45568,Escherichia coli ,Bacteria,83333,Enzyme,28.9458,17.1758,16.3236,NDP,742.3971,81.4168377823,B,62,1,23,MG,,15,0,0,7,1,0,1,0,5640,648,698,712,762,3,2,1,2jd0,6
1q0h,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,10.97,2.2,2003-07-16,Mutant,1.1.1.267,DXR_ECOLI,P45568,Escherichia coli ,Bacteria,83333,Enzyme,42.8638,20.0233,29.45,NDP,504.1572,83.0656934307,A,45,0,16,,,9,0,0,6,1,0,1,0,5635,729,1002,1130,1134,3,2,1,2jd0,6
2o1s,1-deoxy-D-xylulose-5-phosphate synthase,,,,5.367,2.4,2006-11-29,Mutant,2.2.1.7,DXS_ECOLI,P77488,Escherichia coli ,Bacteria,83333,Enzyme,95.4856,131.3197,72.4592,TDP,423.299,94.01028949,AB,49,1,18,MG,,9,1,0,5,1,1,0,1,4220,462,540,560,583,4,1,1,2o1s,2
2o1x,1-deoxy-D-xylulose-5-phosphate synthase,,,,3.617,2.9,2006-11-29,Mutant,2.2.1.7,DXS_DEIRA,Q9RUB5,Deinococcus radiodurans,Bacteria,1299,Enzyme,16.5791,-2.7354,17.6426,TDP,423.299,98.81512806,AB,57,1,22,MG,,13,1,0,5,1,1,0,1,5433,340,401,411,448,4,1,1,2o1s,2
1gym,1-phosphatidylinositol phosphodiesterase,,,,6.814,2.2,1996-05-02,Wild_Type,4.6.1.13,PLC_BACCE,P14262,Bacillus cereus,Bacteria,1396,Enzyme,22.0365,25.0768,101.472,MYG,342.3197,66.39288565,A,26,0,10,,,5,0,0,3,2,0,0,0,3310,310,374,428,459,,,,,
1mai,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1",,,,11.437,1.9,1996-05-23,Wild_Type,3.1.4.11,PLCD1_RAT,P10688,Rattus norvegicus ,Eukaryota,10116,Enzyme,33.1907,17.0629,5.203,I3P,417.0718,67.43875075,A,18,0,16,,,3,0,0,7,0,6,0,0,1834,523,752,880,901,5,2,2,1mai,3
1djy,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1",,,,10.39,2.8,1996-08-24,Mutant,3.1.4.11,PLCD1_RAT,P10688,Rattus norvegicus ,Eukaryota,10116,Enzyme,127.1546,39.7375,17.7431,I2P,417.0718,78.09808416,A,34,1,11,CA,,4,0,0,4,0,2,0,1,5304,509,614,675,732,5,2,1,1djy,3
1djz,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1",,,,11.538,2.95,1996-08-24,Mutant,3.1.4.11,PLCD1_RAT,P10688,Rattus norvegicus ,Eukaryota,10116,Enzyme,126.106,39.9976,17.9195,IP2,338.0998,70.30908282,A,32,1,10,CA,,3,0,0,3,1,2,0,1,5454,502,685,772,853,5,2,1,1djy,3
2ehq,1-pyrroline-5-carboxylate dehydrogenase,,,,4.985,1.55,2007-03-07,Wild_Type,1.5.1.12,Q5SI02_THET8,Q5SI02,Thermus thermophilus ,Bacteria,300852,Enzyme,12.504,33.3537,92.7775,NAP,741.3891,92.0020360669,A,64,0,35,,,26,0,0,5,2,2,0,0,419,526,526,526,543,6,1,1,2ehq,2
2j5n,1-pyrroline-5-carboxylate dehydrogenase,,,,5.204,1.63,2006-09-19,Wild_Type,1.5.1.12,Q5SI02_THET8,Q5SI02,Thermus thermophilus ,Bacteria,300852,Enzyme,12.8813,33.6164,93.4363,NAD,662.4172,93.1580824179,A,63,0,34,,,27,0,0,3,3,1,0,0,644,482,482,486,516,6,1,1,2ehq,2
2ei0,"1,2-dihydroxynaphthalene dioxygenase",,,,5.355,1.6,2007-03-10,Wild_Type,1.13.11.,NAHC_PSEU8,P0A108,Pseudomonas sp,Bacteria,69011,Enzyme,8.4666,10.8671,22.5663,BP7,186.2066,67.8571428571,A,22,0,9,,,8,0,0,0,1,0,0,0,5770,168,168,168,168,,,,,
1icp,12-oxophytodienoate reductase 1,,,,10.856,1.9,2001-04-02,Mutant,1.3.1.42,OPR1_SOLLC,Q9XG54,Solanum lycopersicum ,Eukaryota,4081,Enzyme,-7.1832,0.6752,2.3511,FMN,457.3517,91.72303929,A,40,0,25,,,15,1,0,7,1,1,0,0,1896,492,624,675,705,7,1,1,1icp,2
1vji,12-oxophytodienoate reductase 1,,,,12.042,2,2004-02-24,Wild_Type,1.3.1.42,OPR1_ARATH,Q8LAH7,Arabidopsis thaliana ,Eukaryota,3702,Enzyme,14.4334,46.4922,60.6922,FMN,457.3517,91.15528097,A,41,0,24,,,14,1,0,7,1,1,0,0,2436,529,776,934,1012,7,1,1,1icp,2
1q45,12-oxophytodienoate reductase 3,,,,14.192,2,2003-08-01,Wild_Type,1.3.1.42,OPR3_ARATH,Q9FUP0,Arabidopsis thaliana ,Eukaryota,3702,Enzyme,20.6386,13.3904,35.0612,FMN,457.3517,92.68468735,A,47,0,25,,,15,0,0,7,2,1,0,0,2438,381,401,401,401,8,2,1,1q45,2
2g5w,12-oxophytodienoate reductase 3,,,,20.003,2.58,2006-02-23,Wild_Type,1.3.1.42,OPR3_ARATH,Q9FUP0,Arabidopsis thaliana ,Eukaryota,3702,Enzyme,15.64,15.1594,36.6523,8PG,335.4577,75.40006217,A,35,1,13,,FMN,11,0,0,2,0,0,0,0,4791,496,563,580,600,8,2,2,2g5w,2
2c63,14-3-3 protein eta,,,,20.124,2.15,2005-11-07,Wild_Type,No_EC,1433F_HUMAN,Q04917,Homo sapiens ,Eukaryota,9606,No Enzyme,22.9491,45.9405,17.7077,ILE_SEP_LEU_PRO,507.495,59.18170148,C,34,0,19,,,9,0,0,5,2,3,0,0,3171,577,705,796,810,,,,,
1o9d,14-3-3-like protein C,,,,24.104,2.3,2002-12-12,Wild_Type,No_EC,1433C_TOBAC,P93343,Nicotiana tabacum ,Eukaryota,4097,No Enzyme,39.571,52.6655,25.4023,GLN_SER_TYR_TPO_VAL,675.602,63.22719229,A,40,0,30,,,14,0,0,8,3,4,1,0,3720,776,867,931,961,10,3,1,1o9d,3
2o98,14-3-3-like protein C,,,,23.531,2.7,2006-12-13,Mutant,No_EC,1433C_TOBAC,P93343,Nicotiana tabacum ,Eukaryota,4097,No Enzyme,-13.5331,83.7135,87.9826,FSC,680.8226,80.88525022,BPQ,54,0,20,,,17,0,0,2,1,0,0,0,4994,843,891,894,894,10,3,3,2o98,3
3m50,14-3-3-like protein C,,,,25.674,2.6,2010-03-12,Mutant,No_EC,1433C_TOBAC,P93343,Nicotiana tabacum ,Eukaryota,4097,No Enzyme,0.3222,-36.7988,9.5787,EBT,308.37276,84.2105263158,AP,38,0,13,,,9,0,0,2,1,1,0,0,8212,374,475,526,529,10,3,2,3m50,3
2gdz,15-hydroxyprostaglandin dehydrogenase [NAD+],,,,7.296,1.65,2006-03-17,Mutant,1.1.1.141,PGDH_HUMAN,P15428,Homo sapiens ,Eukaryota,9606,Enzyme,29.4535,19.084,83.0449,NAD,662.4172,97.11434098,A,62,0,33,,,21,1,0,7,4,0,0,0,708,583,756,951,1029,,,,,
2yzj,167aa long hypothetical dUTPase,,,,11.1565535957,1.66,2007-05-06,Mutant,No_EC,Q970G0_SULTO,Q970G0,Sulfolobus tokodaii,Archaea,111955,No Enzyme,-10.2862,-6.9985,7.0381,DUD,386.1459,98.3491870957,AB,46,0,22,,,12,0,0,8,1,1,0,0,729,354,421,452,455,,,,,
3b89,16S rRNA methylase,,,,16.053,2.6,2007-10-31,Mutant,No_EC,Q763K9_ECOLX,Q763K9,Escherichia coli,Bacteria,562,No Enzyme,13.4291,23.5745,25.993,5GP,362.2127,92.6912825628,A,46,0,8,,,7,0,0,0,0,1,0,0,4840,381,418,448,509,,,,,
2wm1,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,,,,7.07,2.01,2009-06-29,Wild_Type,4.1.1.45,ACMSD_HUMAN,Q8TDX5,Homo sapiens ,Eukaryota,9606,Enzyme,-21.0189,21.1267,16.0175,13P,168.041961,98.4848484848,A,27,1,9,ZN,,5,0,0,2,0,2,0,0,7093,168,229,249,249,,,,,
2qx0,2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase,,,,7.183,1.8,2007-08-10,Wild_Type,2.7.6.3,Q7CKD7_YERPE,Q7CKD7,Yersinia pestis,Bacteria,632,Enzyme,-0.7977,2.2019,16.037,APC,502.1844,77.2289638082,AB,45,11,23,MG MG,,8,0,1,6,3,3,0,2,1145,681,1069,1282,1309,,,,,
1rb0,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,,,10.188,1.35,2003-10-31,Wild_Type,2.7.6.3,HPPK_ECOLI,P26281,Escherichia coli ,Bacteria,83333,Enzyme,19.7477,9.6196,8.1638,HH2,351.1067,86.82503386,A,33,0,20,,,9,2,0,5,3,1,0,0,150,442,627,668,671,16,4,1,1dy3,6
1eqm,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,,,8.309,1.5,2000-04-05,Wild_Type,2.7.6.3,HPPK_ECOLI,P26281,Escherichia coli ,Bacteria,83333,Enzyme,20.6639,7.7436,4.4792,ADP,425.1852,67.38412382,A,27,1,13,MG,,5,0,0,3,3,1,0,1,306,327,448,529,644,16,4,3,1eqm,6
1ex8,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,,,8.986,1.85,2000-05-01,Wild_Type,2.7.6.3,HPPK_ECOLI,P26281,Escherichia coli ,Bacteria,83333,Enzyme,2.9247,19.8908,20.54,A4P,760.2925,87.96128955,A,59,1,40,MG,,14,2,0,11,6,6,0,1,1569,830,880,880,880,16,4,2,1ex8,6
1dy3,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,,,8.171,2,2000-01-21,Wild_Type,2.7.6.3,HPPK_ECOLI,P26281,Escherichia coli ,Bacteria,83333,Enzyme,16.1524,31.3287,20.4476,87Y,313.3544,90.03376036,A,37,3,21,MG,,9,2,1,3,5,0,0,1,2332,253,270,280,283,16,4,1,1dy3,6
2bmb,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,,,16.544,2.3,2005-03-11,Wild_Type,2.7.6.,FOL1_YEAST,P53848,Saccharomyces cerevisiae ,Eukaryota,4932,Enzyme,4.2237,21.103,55.8865,PMM,272.1347,97.44473288,A,36,0,18,,,9,0,1,4,2,2,0,0,3716,293,411,499,567,16,4,4,2bmb,6
3ip0,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,,,9.613,0.89,2009-08-15,Wild_Type,2.7.6.3,HPPK_ECOLI,P26281,Escherichia coli ,Bacteria,83333,Enzyme,-10.3506,-1.629,3.0348,APC,501.176443,81.9277108434,A,36,2,20,MG MG,,6,0,0,6,2,4,0,2,7565,556,658,708,722,16,4,3,1eqm,6
3cbf,2-aminoadipate transaminase,,,,8.423,1.67,2008-02-21,Wild_Type,2.6.1.39,LYSN_THET2,Q72LL6,Thermus thermophilus ,Bacteria,262724,Enzyme,-3.5311,1.1807,-36.9952,N5F,389.274481,100,AB,59,0,30,,,18,1,0,8,0,3,0,0,6268,293,324,324,324,,,,,
1iv4,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,8.311,1.55,2002-03-11,Mutant,4.6.1.12,ISPF_THET8,Q8RQP5,Thermus thermophilus ,Bacteria,300852,Enzyme,-14.044,17.6129,62.2684,C5P,322.1886,85.29229723,EF,36,3,17,MG,,8,0,0,5,2,1,0,1,412,239,276,334,361,14,3,2,3ke1,15
1iv2,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,11.275,1.55,2002-03-11,Mutant,4.6.1.12,ISPF_THET8,Q8RQP5,Thermus thermophilus ,Bacteria,300852,Enzyme,2.9649,86.3457,72.0144,CDP,404.1844,87.06554851,BC,41,3,20,MG,,8,0,0,6,3,1,0,2,414,408,563,749,877,14,3,2,3ke1,15
1gx1,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,14.416,1.8,2002-03-26,Wild_Type,4.6.1.12,ISPF_ECO57,P62618,Escherichia coli O157:H7,Bacteria,83334,Enzyme,17.769,13.8873,56.9304,CDF,401.1605,92.98067992,AB,39,2,18,MN,,8,0,0,5,2,1,0,2,1181,418,516,594,600,14,3,2,3ke1,15
2uzh,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,12.84,2.2,2007-04-27,Wild_Type,4.6.1.12,A0R559_MYCS2,A0R559,Mycobacterium smegmatis ,Bacteria,246196,Enzyme,57.465,34.8128,31.209,CDF,401.1605,86.3821717586,ABC,37,2,16,ZN,,9,0,0,4,2,0,0,1,3517,290,300,300,317,14,3,2,3ke1,15
1u40,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,29.555,2.8,2004-07-23,Wild_Type,4.6.1.12,ISPF_ECOLI,P62617,Escherichia coli ,Bacteria,83333,Enzyme,12.3612,31.4235,9.4104,CDM,519.2916,55.11565201,A,32,2,13,ZN,,10,0,0,0,2,0,0,1,5291,108,108,108,108,14,3,1,1u40,15
2gzl,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,34.015,2.5,2006-05-11,Mutant,4.6.1.12,ISPF_ECOLI,P62617,Escherichia coli ,Bacteria,83333,Enzyme,7.6151,14.6145,33.087,2AA,677.515,60.73645927,A,39,2,16,ZN,,12,0,1,1,1,0,0,1,4530,556,644,722,749,14,3,1,1u40,15
1jy8,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,23.437,2.5,2001-09-11,Wild_Type,4.6.1.12,ISPF_ECOLI,P62617,Escherichia coli ,Bacteria,83333,Enzyme,15.8049,32.3083,5.7014,CDI,276.075,89.30971215,A,32,1,13,ZN,,9,0,0,2,1,0,0,1,4531,121,121,121,121,14,3,1,1u40,15
